description,industry,level,size,line_code,value
Importance of pricing of goods and services sold by this business - very important,total,0,50–99 employees,C0201_04,1650
Importance of pricing of goods and services sold by this business - very important,total,0,100+ employees,C0201_04,1398
Importance of pricing of goods and services sold by this business - very important,"Agriculture, forestry, & fishing",1,total,C0201_04,2352
Importance of pricing of goods and services sold by this business - very important,Agriculture,2,total,C0201_04,1638
Importance of pricing of goods and services sold by this business - very important,Commercial fishing,2,total,C0201_04,36
Importance of pricing of goods and services sold by this business - very important,Forestry & logging,2,total,C0201_04,150
Importance of pricing of goods and services sold by this business - very important,"Agriculture, forestry, & fishing support services",2,total,C0201_04,528
Importance of pricing of goods and services sold by this business - very important,Mining,1,total,C0201_04,72
Importance of pricing of goods and services sold by this business - very important,Manufacturing,1,total,C0201_04,3999
Importance of pricing of goods and services sold by this business - very important,"Food, beverage, & tobacco",2,total,C0201_04,858
Importance of pricing of goods and services sold by this business - very important,"Textile, clothing, footwear, & leather",2,total,C0201_04,219
Importance of pricing of goods and services sold by this business - very important,Wood & paper product,2,total,C0201_04,384
Importance of pricing of goods and services sold by this business - very important,"Printing, publishing, & recorded media",2,total,C0201_04,201
Importance of pricing of goods and services sold by this business - very important,"Petroleum, coal, chemical, & associated product",2,total,C0201_04,354
Importance of pricing of goods and services sold by this business - very important,Non-metallic mineral product,2,total,C0201_04,165
Importance of pricing of goods and services sold by this business - very important,Metal product,2,total,C0201_04,675
Importance of pricing of goods and services sold by this business - very important,Transport and industrial machinery & equipment,2,total,C0201_04,696
Importance of pricing of goods and services sold by this business - very important,Other machinery & equipment,2,total,C0201_04,168
Importance of pricing of goods and services sold by this business - very important,Other manufacturing,2,total,C0201_04,282
Importance of pricing of goods and services sold by this business - very important,"Electricity, gas, water, & waste services",1,total,C0201_04,90
Importance of pricing of goods and services sold by this business - very important,Construction,1,total,C0201_04,4188
Importance of pricing of goods and services sold by this business - very important,Wholesale trade,1,total,C0201_04,2478
Importance of pricing of goods and services sold by this business - very important,Machinery & equipment wholesaling,2,total,C0201_04,717
Importance of pricing of goods and services sold by this business - very important,Other wholesale trade,2,total,C0201_04,1761
Importance of pricing of goods and services sold by this business - very important,Retail trade,1,total,C0201_04,3927
Importance of pricing of goods and services sold by this business - very important,Accommodation & food services,1,total,C0201_04,4242
Importance of pricing of goods and services sold by this business - very important,"Transport, postal, & warehousing",1,total,C0201_04,1098
Importance of pricing of goods and services sold by this business - very important,Information media & telecommunications,1,total,C0201_04,255
Importance of pricing of goods and services sold by this business - very important,Publishing,2,total,C0201_04,81
Importance of pricing of goods and services sold by this business - very important,Motion picture,2,total,C0201_04,87
Importance of pricing of goods and services sold by this business - very important,Telecommunications,2,total,C0201_04,84
Importance of pricing of goods and services sold by this business - very important,Financial & insurance services,1,total,C0201_04,327
Importance of pricing of goods and services sold by this business - very important,Finance,2,total,C0201_04,126
Importance of pricing of goods and services sold by this business - very important,Insurance,2,total,C0201_04,27
Importance of pricing of goods and services sold by this business - very important,Auxiliary,2,total,C0201_04,174
Importance of pricing of goods and services sold by this business - very important,"Rental, hiring, & real estate services",1,total,C0201_04,633
Importance of pricing of goods and services sold by this business - very important,"Professional, scientific, & technical services",1,total,C0201_04,2658
Importance of pricing of goods and services sold by this business - very important,Computer systems design,2,total,C0201_04,510
Importance of pricing of goods and services sold by this business - very important,Other professional scientific,2,total,C0201_04,2151
Importance of pricing of goods and services sold by this business - very important,Administrative & support services,1,total,C0201_04,1143
Importance of pricing of goods and services sold by this business - very important,Education & training,1,total,C0201_04,522
Importance of pricing of goods and services sold by this business - very important,Health care & social assistance,1,total,C0201_04,1350
Importance of pricing of goods and services sold by this business - very important,Arts & recreation services,1,total,C0201_04,330
Importance of pricing of goods and services sold by this business - very important,Other services,1,total,C0201_04,918
Importance of pricing of goods and services sold by this business - very important,total,0,total,C0201_04,30582
Importance of pricing of goods and services sold by this business - don't know,total,0,6–19 employees,C0201_05,861
Importance of pricing of goods and services sold by this business - don't know,total,0,20–49 employees,C0201_05,180
Importance of pricing of goods and services sold by this business - don't know,total,0,50–99 employees,C0201_05,36
Importance of pricing of goods and services sold by this business - don't know,total,0,100+ employees,C0201_05,30
Importance of pricing of goods and services sold by this business - don't know,"Agriculture, forestry, & fishing",1,total,C0201_05,351
Importance of pricing of goods and services sold by this business - don't know,Agriculture,2,total,C0201_05,246
Importance of pricing of goods and services sold by this business - don't know,Commercial fishing,2,total,C0201_05,3
Importance of pricing of goods and services sold by this business - don't know,Forestry & logging,2,total,C0201_05,33
Importance of pricing of goods and services sold by this business - don't know,"Agriculture, forestry, & fishing support services",2,total,C0201_05,72
Importance of pricing of goods and services sold by this business - don't know,Mining,1,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Manufacturing,1,total,C0201_05,96
Importance of pricing of goods and services sold by this business - don't know,"Food, beverage, & tobacco",2,total,C0201_05,24
Importance of pricing of goods and services sold by this business - don't know,"Textile, clothing, footwear, & leather",2,total,C0201_05,0
Importance of pricing of goods and services sold by this business - don't know,Wood & paper product,2,total,C0201_05,18
Importance of pricing of goods and services sold by this business - don't know,"Printing, publishing, & recorded media",2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,"Petroleum, coal, chemical, & associated product",2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Non-metallic mineral product,2,total,C0201_05,3
Importance of pricing of goods and services sold by this business - don't know,Metal product,2,total,C0201_05,24
Importance of pricing of goods and services sold by this business - don't know,Transport and industrial machinery & equipment,2,total,C0201_05,0
Importance of pricing of goods and services sold by this business - don't know,Other machinery & equipment,2,total,C0201_05,3
Importance of pricing of goods and services sold by this business - don't know,Other manufacturing,2,total,C0201_05,15
Importance of pricing of goods and services sold by this business - don't know,"Electricity, gas, water, & waste services",1,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Construction,1,total,C0201_05,33
Importance of pricing of goods and services sold by this business - don't know,Wholesale trade,1,total,C0201_05,30
Importance of pricing of goods and services sold by this business - don't know,Machinery & equipment wholesaling,2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Other wholesale trade,2,total,C0201_05,21
Importance of pricing of goods and services sold by this business - don't know,Retail trade,1,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Accommodation & food services,1,total,C0201_05,132
Importance of pricing of goods and services sold by this business - don't know,"Transport, postal, & warehousing",1,total,C0201_05,57
Importance of pricing of goods and services sold by this business - don't know,Information media & telecommunications,1,total,C0201_05,12
Importance of pricing of goods and services sold by this business - don't know,Publishing,2,total,C0201_05,0
Importance of pricing of goods and services sold by this business - don't know,Motion picture,2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Telecommunications,2,total,C0201_05,3
Importance of pricing of goods and services sold by this business - don't know,Financial & insurance services,1,total,C0201_05,18
Importance of pricing of goods and services sold by this business - don't know,Finance,2,total,C0201_05,12
Importance of pricing of goods and services sold by this business - don't know,Insurance,2,total,C0201_05,0
Importance of pricing of goods and services sold by this business - don't know,Auxiliary,2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,"Rental, hiring, & real estate services",1,total,C0201_05,36
Importance of pricing of goods and services sold by this business - don't know,"Professional, scientific, & technical services",1,total,C0201_05,78
Importance of pricing of goods and services sold by this business - don't know,Computer systems design,2,total,C0201_05,6
Importance of pricing of goods and services sold by this business - don't know,Other professional scientific,2,total,C0201_05,72
Importance of pricing of goods and services sold by this business - don't know,Administrative & support services,1,total,C0201_05,69
Importance of pricing of goods and services sold by this business - don't know,Education & training,1,total,C0201_05,15
Importance of pricing of goods and services sold by this business - don't know,Health care & social assistance,1,total,C0201_05,126
Importance of pricing of goods and services sold by this business - don't know,Arts & recreation services,1,total,C0201_05,18
Importance of pricing of goods and services sold by this business - don't know,Other services,1,total,C0201_05,18
Importance of pricing of goods and services sold by this business - don't know,total,0,total,C0201_05,1110
Importance of quality of goods and services produced by this business - not at all important,total,0,6–19 employees,C0202_01,405
Importance of quality of goods and services produced by this business - not at all important,total,0,20–49 employees,C0202_01,126
Importance of quality of goods and services produced by this business - not at all important,total,0,50–99 employees,C0202_01,33
Importance of quality of goods and services produced by this business - not at all important,total,0,100+ employees,C0202_01,12
Importance of quality of goods and services produced by this business - not at all important,"Agriculture, forestry, & fishing",1,total,C0202_01,45
Importance of quality of goods and services produced by this business - not at all important,Agriculture,2,total,C0202_01,21
Importance of quality of goods and services produced by this business - not at all important,Commercial fishing,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Forestry & logging,2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,"Agriculture, forestry, & fishing support services",2,total,C0202_01,21
Importance of quality of goods and services produced by this business - not at all important,Mining,1,total,C0202_01,9
Importance of quality of goods and services produced by this business - not at all important,Manufacturing,1,total,C0202_01,48
Importance of quality of goods and services produced by this business - not at all important,"Food, beverage, & tobacco",2,total,C0202_01,18
Importance of quality of goods and services produced by this business - not at all important,"Textile, clothing, footwear, & leather",2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Wood & paper product,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,"Printing, publishing, & recorded media",2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,"Petroleum, coal, chemical, & associated product",2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,Non-metallic mineral product,2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,Metal product,2,total,C0202_01,6
Importance of quality of goods and services produced by this business - not at all important,Transport and industrial machinery & equipment,2,total,C0202_01,9
Importance of quality of goods and services produced by this business - not at all important,Other machinery & equipment,2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,Other manufacturing,2,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,"Electricity, gas, water, & waste services",1,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,Construction,1,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Wholesale trade,1,total,C0202_01,72
Importance of quality of goods and services produced by this business - not at all important,Machinery & equipment wholesaling,2,total,C0202_01,33
Importance of quality of goods and services produced by this business - not at all important,Other wholesale trade,2,total,C0202_01,39
Importance of quality of goods and services produced by this business - not at all important,Retail trade,1,total,C0202_01,3
Importance of quality of goods and services produced by this business - not at all important,Accommodation & food services,1,total,C0202_01,24
Importance of quality of goods and services produced by this business - not at all important,"Transport, postal, & warehousing",1,total,C0202_01,30
Importance of quality of goods and services produced by this business - not at all important,Information media & telecommunications,1,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Publishing,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Motion picture,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Telecommunications,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Financial & insurance services,1,total,C0202_01,33
Importance of quality of goods and services produced by this business - not at all important,Finance,2,total,C0202_01,21
Importance of quality of goods and services produced by this business - not at all important,Insurance,2,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,Auxiliary,2,total,C0202_01,12
Importance of quality of goods and services produced by this business - not at all important,"Rental, hiring, & real estate services",1,total,C0202_01,48
Importance of quality of goods and services produced by this business - not at all important,"Professional, scientific, & technical services",1,total,C0202_01,72
Importance of quality of goods and services produced by this business - not at all important,Computer systems design,2,total,C0202_01,15
Importance of quality of goods and services produced by this business - not at all important,Other professional scientific,2,total,C0202_01,60
Importance of quality of goods and services produced by this business - not at all important,Administrative & support services,1,total,C0202_01,81
Importance of quality of goods and services produced by this business - not at all important,Education & training,1,total,C0202_01,24
Importance of quality of goods and services produced by this business - not at all important,Health care & social assistance,1,total,C0202_01,63
Importance of quality of goods and services produced by this business - not at all important,Arts & recreation services,1,total,C0202_01,12
Importance of quality of goods and services produced by this business - not at all important,Other services,1,total,C0202_01,0
Importance of quality of goods and services produced by this business - not at all important,total,0,total,C0202_01,576
Importance of quality of goods and services produced by this business - a little important,total,0,6–19 employees,C0202_02,276
Importance of quality of goods and services produced by this business - a little important,total,0,20–49 employees,C0202_02,63
Importance of quality of goods and services produced by this business - a little important,total,0,50–99 employees,C0202_02,15
Importance of quality of goods and services produced by this business - a little important,total,0,100+ employees,C0202_02,12
Importance of quality of goods and services produced by this business - a little important,"Agriculture, forestry, & fishing",1,total,C0202_02,75
Importance of quality of goods and services produced by this business - a little important,Agriculture,2,total,C0202_02,48
Importance of quality of goods and services produced by this business - a little important,Commercial fishing,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Forestry & logging,2,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,"Agriculture, forestry, & fishing support services",2,total,C0202_02,27
Importance of quality of goods and services produced by this business - a little important,Mining,1,total,C0202_02,6
Importance of quality of goods and services produced by this business - a little important,Manufacturing,1,total,C0202_02,12
Importance of quality of goods and services produced by this business - a little important,"Food, beverage, & tobacco",2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,"Textile, clothing, footwear, & leather",2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Wood & paper product,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,"Printing, publishing, & recorded media",2,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,"Petroleum, coal, chemical, & associated product",2,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,Non-metallic mineral product,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Metal product,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Transport and industrial machinery & equipment,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Other machinery & equipment,2,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,Other manufacturing,2,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,"Electricity, gas, water, & waste services",1,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,Construction,1,total,C0202_02,24
Importance of quality of goods and services produced by this business - a little important,Wholesale trade,1,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,Machinery & equipment wholesaling,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Other wholesale trade,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Retail trade,1,total,C0202_02,60
Importance of quality of goods and services produced by this business - a little important,Accommodation & food services,1,total,C0202_02,108
Importance of quality of goods and services produced by this business - a little important,"Transport, postal, & warehousing",1,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Information media & telecommunications,1,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Publishing,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Motion picture,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Telecommunications,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Financial & insurance services,1,total,C0202_02,9
Importance of quality of goods and services produced by this business - a little important,Finance,2,total,C0202_02,9
Importance of quality of goods and services produced by this business - a little important,Insurance,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Auxiliary,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,"Rental, hiring, & real estate services",1,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,"Professional, scientific, & technical services",1,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Computer systems design,2,total,C0202_02,0
